Wild Animals,lion,10,3
Pets,dog,5,3
Fruits,apple,5,3
Vehicles,car,5,3
Park,swing,4,2
Beach,fish,6,3
Body,nose,2,3
Shapes,circle,4,3
Home,sofa,3,3
Clothes,diaper,3,3
